,date_played,name,Score,# Putts,# Penalties,GIR,Green Light Drives,# Shots 100-200 Yards,# Shots < 100 Yards,# Drivers Hit,Avg. Driver Distance
28,2024-10-20,The Fort Golf Resort,85.0,34.0,,33.3%,7.0,11.0,20.0,10.0,233.71582766035704
26,2024-10-18,Sahm Golf Course,85.0,35.0,,22.2%,10.0,13.0,20.0,11.0,240.5277324283701
25,2024-10-15,Sahm Golf Course,84.0,33.0,1.0,33.3%,10.0,14.0,19.0,11.0,220.75537901374364
22,2024-10-06,The Pfau Course at Indiana University,99.0,40.0,2.0,33.3%,7.0,15.0,21.0,11.0,223.00474967682396
21,2024-10-04,Sahm Golf Course,86.0,40.0,,50.0%,11.0,13.0,16.0,11.0,208.96525812455883
19,2024-09-26,Fall Creek Golf Club,93.0,31.0,,11.1%,7.0,11.0,32.0,8.0,170.1872626006981
17,2024-09-22,The Fort Golf Resort,91.0,33.0,3.0,27.8%,5.0,11.0,25.0,12.0,214.20643828650327
16,2024-09-18,Twin Lakes Golf Club,98.0,35.0,4.0,22.2%,4.0,17.0,23.0,11.0,215.45077800803512
15,2024-09-16,Sahm Golf Course,86.0,36.0,,27.8%,7.0,15.0,16.0,10.0,209.94436213575258
14,2024-09-15,Sahm Golf Course,90.0,33.0,1.0,16.7%,7.0,17.0,20.0,8.0,196.5873953656826
13,2024-09-08,Battle Ground Golf Club,96.0,38.0,2.0,16.7%,9.0,14.0,24.0,13.0,254.41025113332685
11,2024-08-30,Sahm Golf Course,89.0,33.0,,16.7%,6.0,17.0,21.0,8.0,203.958973316242
10,2024-08-27,Sahm Golf Course,81.0,33.0,1.0,50.0%,9.0,14.0,15.0,10.0,216.9637161156674
9,2024-08-25,The Sagamore Club,112.0,33.0,7.0,5.6%,10.0,11.0,45.0,6.0,245.3751330851636
5,2024-08-06,Sahm Golf Course,85.0,37.0,,33.3%,5.0,13.0,16.0,2.0,132.72123098019952
4,2024-08-04,South Grove Golf Course,91.0,31.0,1.0,16.7%,4.0,14.0,22.0,,
3,2024-08-03,Sahm Golf Course,92.0,34.0,2.0,27.8%,8.0,14.0,23.0,,
2,2024-07-31,Sahm Golf Course,87.0,32.0,2.0,33.3%,9.0,18.0,19.0,,
1,2024-07-25,Stony Creek Golf Club,102.0,37.0,4.0,22.2%,3.0,13.0,26.0,1.0,84.83965031043488
0,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
12,,,,,,,,,,,
18,,,,,,,,,,,
20,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
27,,,,,,,,,,,
