Distance,Total,Made,Make %
1,145,145,100.0
2,74,74,100.0
3,110,106,96.36363636363636
4,48,44,91.66666666666666
5,41,29,70.73170731707317
6,28,14,50.0
7,31,7,22.58064516129032
8,36,8,22.22222222222222
9,18,2,11.11111111111111
10,42,6,14.285714285714285
11,9,1,11.11111111111111
12,45,4,8.88888888888889
13,2,0,0.0
14,8,1,12.5
15,27,2,7.4074074074074066
16,14,1,7.142857142857142
17,3,0,0.0
18,31,2,6.451612903225806
19,1,0,0.0
20,21,0,0.0
21,7,0,0.0
22,6,1,16.666666666666664
24,13,1,7.6923076923076925
25,15,1,6.666666666666667
27,13,0,0.0
28,4,1,25.0
29,1,0,0.0
30,23,1,4.3478260869565215
32,1,0,0.0
33,4,1,25.0
35,11,1,9.090909090909092
36,10,0,0.0
37,1,0,0.0
38,4,0,0.0
39,3,0,0.0
40,8,0,0.0
42,3,0,0.0
43,2,0,0.0
45,6,0,0.0
50,1,0,0.0
54,1,0,0.0
56,1,0,0.0
57,2,0,0.0
60,2,0,0.0
65,1,0,0.0
75,1,0,0.0
81,1,0,0.0
87,1,0,0.0
